
Image Name                     PID Session Name        Session#    Mem Usage Status          User Name                                              CPU Time Window Title                                                            
svchost.exe                   3260 Services                   0     68,224 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:03 N/A                                                                     
blnsvr.exe                    3268 Services                   0     12,380 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3284 Services                   0     25,208 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:03 N/A                                                                     
svchost.exe                   3292 Services                   0     18,140 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3380 Services                   0     14,320 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
spice-webdavd.exe             3412 Services                   0     18,952 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
qemu-ga.exe                   3428 Services                   0     28,832 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
svchost.exe                   3444 Services                   0     23,512 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:01 N/A                                                                     
MsMpEng.exe                   3456 Services                   0    269,992 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:28 N/A                                                                     
MpDefenderCoreService.exe     3464 Services                   0     28,644 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   3500 Services                   0     33,068 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vdservice.exe                 3524 Services                   0      7,272 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
vdagent.exe                   3720 Console                    1     12,188 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
rundll32.exe                  3752 Console                    1     16,624 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   4084 Services                   0     20,912 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                      8 Services                   0     49,228 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:05 N/A                                                                     
sihost.exe                    4180 Console                    1     62,732 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:02 N/A                                                                     
svchost.exe                   4212 Console                    1     27,388 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   4344 Services                   0     12,556 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   4412 Console                    1      9,044 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   4424 Services                   0     18,828 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
svchost.exe                   4488 Console                    1     52,748 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   4624 Services                   0     31,764 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
MicrosoftEdgeUpdate.exe       4632 Services                   0      7,728 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
taskhostw.exe                 4656 Console                    1     22,244 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
AggregatorHost.exe            4928 Services                   0     13,196 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   1212 Services                   0     25,248 K Unknown         NT AUTHORITY\LOCAL SERVICE                              0:00:00 N/A                                                                     
explorer.exe                  3308 Console                    1    204,600 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:05 N/A                                                                     
ShellHost.exe                 5172 Console                    1     48,748 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   5484 Services                   0     20,632 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   5568 Console                    1     31,180 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
CrossDeviceResume.exe         5640 Console                    1     56,804 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
StartMenuExperienceHost.e     4420 Console                    1    156,896 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
SearchHost.exe                 860 Console                    1    141,992 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
RuntimeBroker.exe             5276 Console                    1     57,108 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
Widgets.exe                   5752 Console                    1     69,668 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   6172 Console                    1     27,536 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            7064 Console                    1    124,476 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:01 N/A                                                                     
msedgewebview2.exe            5144 Console                    1     14,696 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
WidgetService.exe             5976 Console                    1     32,808 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            6248 Console                    1     35,780 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            5008 Console                    1     43,836 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            6788 Console                    1     21,744 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
msedgewebview2.exe            7228 Console                    1    105,528 K Unknown         WIN-3OOHE80EBFQ\minicon                                 0:00:00 N/A                                                                     
svchost.exe                   7444 Services                   0     20,448 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   8188 Services                   0     11,560 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
svchost.exe                   2736 Services                   0     18,164 K Unknown         NT AUTHORITY\SYSTEM                                     0:00:00 N/A                                                                     
